year,f024,f161,f162,h125,h126,h133,h134,age_m,age_w,edu_m,edu_w,gen_m,gen_w,NSIB018H,NSIB018DH,FB,girl
2015,,,,,,,,48,42,1,2,1,1,3,1,1,0
2008,,,,,,,,43,45,3,2,3,1,2,1,1,0
2009,,,,,,,,44,46,3,2,3,1,2,1,1,0
2010,,,,,,,,45,47,3,2,3,1,2,1,1,0
2011,,,,,,,,46,48,3,2,3,1,2,1,1,0
2011,,,,,,,,46,48,3,2,3,1,2,1,0,0
2012,,,,,,,,47,49,3,2,3,1,2,1,0,0
2012,no,very good,very good,no,,once every two months,no,46,43,1,1,3,1,1,1,1,0
2013,no,very good,very good,no,,once or twice a month,no,47,44,1,1,3,1,1,1,1,0
2014,,,,,,,,47,45,1,1,3,1,1,0,0,1
2015,no,very good,good,yes,"no, I stopped",once or twice a week,yes,49,46,1,1,3,1,1,0,0,1
2009,,,,,,,,54,50,1,2,1,1,2,0,1,1
2010,yes,very good,very good,no,,once every two months,yes,56,52,1,2,1,1,2,0,0,1
2010,,,,,,,,55,51,1,2,1,1,2,1,0,0
2011,no,very good,fairly good,no,,once or twice a week,yes,57,53,1,2,1,1,3,0,0,1
2011,,,,,,,,56,52,1,2,1,1,3,1,0,0
2011,,,,,,,,56,52,1,2,4,4,3,1,0,0
2012,no,very good,very good,no,,three of four days per week,yes,58,54,1,2,1,1,3,0,0,1
2012,,,,,,,,57,53,1,2,1,1,3,1,0,0
2008,no,good,good,yes,yes,once or twice a week,yes,51,50,3,1,1,3,1,1,1,1
2009,,,,no,,once or twice a week,yes,51,50,3,1,1,3,1,1,0,1
2009,yes,very good,very good,yes,yes,once or twice a week,no,52,51,3,1,1,3,1,1,1,1
2010,no,good,good,yes,yes,once or twice a week,yes,53,52,3,1,1,3,1,1,0,1
2011,no,good,good,yes,yes,three of four days per week,yes,54,53,3,1,1,3,1,1,0,1
2012,no,fairly good,good,yes,yes,three of four days per week,yes,55,54,3,1,1,3,0,0,0,1
2015,,,,,,,,,47,,2,,1,1,0,1,1
2016,no,very good,good,,,,,51,49,,2,,1,1,0,1,1
2014,,,,,,,,44,41,2,3,1,1,2,0,1,0
2015,no,very good,very good,,,,,47,43,2,3,1,1,2,0,1,0
2016,no,very good,very good,no,,once or twice a month,no,48,44,2,3,1,1,2,0,1,0
2012,,,,no,,not at all over the last 12 months,,40,42,1,1,1,1,1,0,1,1
2013,no,good,good,no,,not at all over the last 12 months,,42,44,1,1,1,1,1,0,1,1
2014,no,good,fairly good,,,,,43,45,1,1,1,1,1,0,1,1
2015,,,,,,,,43,45,1,1,1,1,1,1,0,0
2016,no,good,good,no,,not at all over the last 12 months,,45,47,1,1,1,1,1,1,0,0
2008,,,,,,,,46,49,3,3,4,4,2,2,1,0
2009,,,,,,,,47,49,3,3,4,4,2,2,1,0
2010,no,very good,very good,,,,,49,51,3,3,4,4,2,2,1,0
2010,,,,,,,,48,51,3,3,4,4,2,1,0,1
2011,,,,,,,,49,52,3,3,4,4,2,2,0,0
2011,no,good,good,no,,once or twice a month,yes,60,62,3,3,4,4,2,1,0,1
2012,no,good,good,no,,once or twice a month,yes,61,63,3,3,4,4,2,1,0,1
2013,yes,good,good,no,,once or twice a month,yes,62,64,3,3,4,4,2,1,0,1
2013,,,,,,,,51,54,3,3,4,4,2,1,0,0
2014,,,,,,,,52,54,3,3,4,4,2,1,0,0
2015,,,,,,,,54,56,3,3,4,4,2,1,0,0
2013,,,,,,,,45,45,3,2,1,3,1,1,1,0
2014,,,,,,,,46,46,3,2,1,3,1,1,1,0
2008,,,,,,,,45,39,3,2,1,2,1,0,1,1
2009,,,,,,,,46,40,3,2,1,2,1,0,1,1
2010,,,,no,,once every two months,no,47,41,3,2,1,2,1,1,0,0
2010,no,fairly good,good,no,,not at all over the last 12 months,,48,42,3,2,1,2,1,0,1,1
2011,no,very good,very good,no,,once or twice a year,no,49,43,3,2,1,2,1,1,0,0
2011,no,good,good,no,,not at all over the last 12 months,,49,43,3,2,1,2,1,0,1,1
2012,no,very good,very good,no,,once or twice a month,no,50,44,3,2,1,2,1,1,0,0
2013,no,very good,very good,no,,not at all over the last 12 months,,51,45,3,2,1,2,1,1,0,0
2014,,,,,,,,39,45,1,2,4,4,1,0,1,0
2015,no,good,good,no,,not at all over the last 12 months,,28,47,1,2,4,4,1,0,1,0
2016,no,very good,very good,no,,not at all over the last 12 months,,29,48,1,2,4,4,1,0,1,0
2011,,,,,,,,60,52,3,3,1,1,2,1,1,1
2012,,,,,,,,61,53,3,3,1,1,2,2,0,0
2012,yes,good,good,no,,once or twice a week,yes,61,53,3,3,1,1,2,1,1,1
2012,,,,,,,,61,53,3,3,1,1,2,1,0,1
2013,no,very good,very good,no,,once or twice a week,yes,63,53,3,3,1,1,2,2,0,0
2013,yes,good,good,no,,once or twice a week,yes,63,55,3,3,1,1,2,1,1,1
2013,no,good,good,no,,once or twice a year,no,63,54,3,3,1,1,2,1,0,1
2014,no,good,fairly good,,,,,64,53,3,3,1,1,2,2,0,0
2014,yes,very good,very good,,,,,64,56,3,3,1,1,2,1,1,1
2014,no,good,good,,,,,64,52,3,3,1,1,2,1,0,1
2015,no,good,fairly good,no,,once or twice a week,yes,65,54,3,3,1,1,2,2,0,0
2015,no,good,good,no,,once or twice a month,yes,65,53,3,3,1,1,2,1,0,1
2008,,,,,,,,44,41,1,1,1,1,1,0,1,1
2009,yes,good,good,no,,not at all over the last 12 months,,46,43,1,1,1,1,1,0,1,1
2010,yes,very good,very good,no,,once or twice a year,no,47,44,1,1,1,1,1,0,1,1
2011,no,very good,very good,no,,once or twice a year,no,48,45,1,1,1,1,1,0,1,1
2011,,,,,,,,47,44,1,1,1,1,1,1,0,0
2012,no,very good,very good,no,,once or twice a week,yes,49,45,1,1,1,1,1,1,0,0
2013,no,very good,very good,no,,once or twice a week,yes,50,46,1,1,1,1,1,1,0,0
2014,,,,,,,,50,47,1,1,1,1,1,1,0,0
2014,,,,,,,,50,,1,,1,,1,0,1,1
2015,,,,no,,once or twice a year,no,51,,1,,1,,1,0,1,1
2016,yes,very good,very good,,,,,52,,1,,1,,1,0,1,1
2016,,,,,,,,52,,1,,1,,1,1,0,0
2008,yes,good,very good,no,,once every two months,no,52,50,1,1,1,1,1,1,1,0
2009,yes,good,good,,,,,53,51,1,1,1,1,1,1,0,0
2009,,,,,,,,52,50,1,1,1,1,1,0,0,0
2010,,,,,,,,53,51,1,1,1,1,1,0,0,0
2011,,,,,,,,54,52,1,1,1,1,1,0,0,0
2009,,,,no,,once or twice a year,no,41,39,1,1,1,2,1,1,0,1
2010,no,good,good,no,,once or twice a year,no,43,41,1,1,1,2,1,1,0,1
2011,yes,very good,good,no,,not at all over the last 12 months,,44,42,1,1,1,2,1,1,0,1
2012,,,,no,,not at all over the last 12 months,,44,42,1,1,1,2,1,1,0,1
2013,,,,no,,not at all over the last 12 months,,45,43,1,1,1,2,1,1,0,0
2014,,,,,,,,46,44,1,1,1,2,1,1,0,0
2015,,,,,,,,47,46,1,1,1,2,1,1,0,0
2015,,,,,,,,48,47,3,3,4,4,1,0,1,0
2016,,,,,,,,49,48,3,3,4,4,1,0,1,0
2008,no,good,good,yes,"no, I stopped",once or twice a week,yes,55,48,3,3,1,1,2,0,0,0
2008,,,,no,,once or twice a week,yes,54,47,3,3,1,1,2,0,0,0
2009,no,good,fairly good,no,,three of four days per week,yes,55,48,3,3,1,1,2,0,0,0
2010,no,good,fairly good,no,,almost every day,yes,56,49,3,3,1,1,2,0,0,0
2011,,,,yes,yes,once or twice a week,yes,57,50,3,3,1,1,2,0,0,0
2011,no,good,fairly good,no,,three of four days per week,yes,57,50,3,3,1,1,2,0,0,0
2012,no,very good,good,yes,"no, I stopped",once or twice a week,yes,58,51,3,3,1,1,2,0,0,0
2013,yes,good,good,yes,"no, I stopped",once or twice a week,yes,59,52,3,3,1,1,1,0,0,0
2014,no,fairly good,good,,,,,60,53,3,3,1,1,1,0,0,0
2008,,,,,,,,43,40,2,3,4,4,1,0,1,1
2009,yes,very good,very good,,,,,42,40,2,3,4,4,1,0,1,1
2010,,,,,,,,45,42,2,3,4,4,1,1,0,0
2010,,,,,,,,45,42,2,3,4,4,1,0,1,1
2011,,,,,,,,46,43,2,3,4,4,1,1,0,0
2011,,,,,,,,46,43,2,3,4,4,1,0,1,1
2012,,,,,,,,47,44,2,3,4,4,1,1,0,0
2013,,,,,,,,48,45,2,3,4,4,1,1,0,0
2012,,,,,,,,43,44,3,2,1,1,1,1,1,0
2013,no,good,good,no,,not at all over the last 12 months,,45,46,3,2,1,1,1,1,1,0
2014,,,,,,,,45,46,3,2,1,1,1,0,0,1
2014,no,good,good,,,,,46,47,3,2,1,1,1,1,1,0
2015,no,good,good,no,,not at all over the last 12 months,,47,48,3,2,1,1,1,0,0,1
2015,no,good,good,no,,not at all over the last 12 months,,47,48,3,2,1,1,1,1,1,0
2016,no,good,good,,,,,48,49,3,2,1,1,1,0,0,1
2008,no,good,good,yes,"no, I stopped",once or twice a month,no,45,47,3,2,1,1,1,0,1,1
2009,no,very good,good,yes,"no, I stopped",not at all over the last 12 months,,46,48,3,2,1,1,1,0,1,1
2010,no,very good,good,yes,"no, I stopped",not at all over the last 12 months,,47,49,3,2,1,1,1,0,1,1
2011,,,,,,,,47,50,3,2,1,1,1,1,0,0
2012,,,,no,,once or twice a week,yes,48,51,3,2,1,1,1,1,0,0
2013,no,good,good,no,,once or twice a month,no,49,50,3,2,1,1,1,1,0,0
2014,no,good,good,,,,,50,51,3,2,1,1,0,0,0,0
2013,,,,no,,not at all over the last 12 months,,41,38,3,2,4,4,3,2,1,1
2014,,,,,,,,42,39,3,3,4,4,3,2,0,1
2014,no,very good,very good,,,,,43,40,3,3,4,4,3,2,1,1
2015,no,very good,very good,no,,not at all over the last 12 months,,43,40,3,3,4,4,3,2,0,1
2015,no,very good,very good,,,,,44,41,3,3,4,4,3,2,1,1
2016,no,very good,very good,no,,not at all over the last 12 months,,45,42,3,3,4,4,3,2,0,1
2013,,,,,,,,43,43,3,3,4,4,1,0,1,0
2012,,,,yes,"no, I stopped",once or twice a month,yes,52,48,1,3,1,2,1,0,1,0
2013,,,,,,,,53,49,1,3,1,2,1,0,1,0
2014,,,,,,,,54,50,1,3,1,2,1,0,1,0
2014,,,,,,,,54,50,1,3,1,2,1,0,0,0
2015,no,very good,very good,no,,not at all over the last 12 months,,56,52,1,3,1,2,1,0,0,0
2016,,,,no,,once or twice a month,yes,56,53,1,3,1,2,1,0,0,0
2008,no,good,,yes,"no, I stopped",not at all over the last 12 months,,43,37,1,1,2,2,3,2,1,1
2009,no,very good,,yes,yes,not at all over the last 12 months,,44,38,1,,2,,4,3,1,1
2015,,,,,,,,46,48,3,3,1,1,3,2,1,0
2016,no,very good,very good,,,,,47,49,3,3,1,1,3,2,1,0
2008,no,good,fairly good,no,,once or twice a week,yes,45,47,1,1,1,1,1,0,0,1
2008,no,good,good,no,,once or twice a week,yes,45,47,1,1,1,1,1,1,1,0
2009,,,,,,,,45,47,1,1,1,1,1,0,0,1
2008,yes,good,good,no,,not at all over the last 12 months,,45,45,3,2,1,1,2,0,1,1
2009,yes,good,good,no,,not at all over the last 12 months,,46,46,3,2,1,1,2,0,1,1
2009,,,,,,,,45,45,3,2,1,1,2,1,0,0
2010,yes,good,good,no,,not at all over the last 12 months,,47,47,3,2,1,1,2,0,1,1
2010,no,good,good,no,,once or twice a month,no,47,47,3,2,1,1,2,1,0,0
2011,,,,no,,once or twice a year,no,47,47,3,2,1,1,2,1,0,0
2011,no,good,fairly good,no,,once or twice a month,no,48,48,3,2,1,1,2,1,0,0
2012,,,,no,,once or twice a year,no,48,48,3,2,1,1,2,1,0,0
2012,no,very good,good,,,,,49,49,3,2,1,1,2,1,0,0
2013,yes,very good,very good,,,,,50,50,3,2,1,1,2,1,0,0
2014,,,,,,,,50,50,3,2,1,1,1,0,0,0
2014,yes,very good,very good,,,,,46,47,2,2,1,1,1,0,1,1
2015,yes,good,very good,yes,"no, I stopped",once or twice a month,yes,47,48,2,2,1,1,1,0,1,1
2015,,,,,,,,47,48,2,2,1,1,1,1,0,0
2016,,,,,,,,48,49,2,2,1,1,1,1,0,0
2012,,,,,,,,42,42,3,1,1,1,0,0,1,0
2013,,,,,,,,43,43,3,1,1,1,0,0,1,0
2014,,,,,,,,44,44,3,1,1,1,0,0,1,0
2015,,,,,,,,46,45,3,1,1,1,0,0,1,0
2008,,,,,,,,43,43,2,2,4,4,1,1,0,0
2008,,,,,,,,43,43,2,2,4,4,1,0,1,0
2009,,,,,,,,44,44,2,2,4,4,1,1,0,0
2009,,,,,,,,44,44,2,2,4,4,1,0,1,0
2010,,,,,,,,45,45,2,2,4,4,1,1,0,0
2010,,,,,,,,45,45,2,2,4,4,1,0,1,0
2012,,,,,,,,47,49,3,2,4,4,2,1,1,0
2013,,,,,,,,48,50,3,2,4,4,2,1,1,0
2014,,,,,,,,49,51,3,2,4,4,2,1,1,0
2015,,,,,,,,44,44,2,2,1,1,1,1,1,0
2016,,,,,,,,45,45,2,2,1,1,1,1,1,0
2008,,,,,,,,48,46,2,3,1,1,2,1,0,0
2008,,,,,,,,48,46,2,3,1,1,2,1,1,0
2009,no,good,good,yes,yes,three of four days per week,yes,49,47,2,3,1,1,2,1,0,0
2009,,,,,,,,49,47,2,3,1,1,2,1,1,0
2010,no,good,good,yes,yes,three of four days per week,yes,50,48,2,3,1,1,2,1,0,0
2011,yes,good,good,yes,yes,three of four days per week,yes,51,49,2,3,1,1,2,1,0,0
2011,,,,no,,once or twice a year,no,51,49,2,3,1,1,2,0,0,1
2012,no,very good,very good,no,,once or twice a year,no,52,51,2,3,1,1,2,0,0,1
2013,no,very good,very good,no,,once every two months,no,53,52,2,3,1,1,2,0,0,1
2014,no,very good,very good,,,,,54,53,2,3,1,1,1,0,0,1
2008,no,very good,very good,no,,once or twice a week,yes,52,45,1,1,1,1,1,1,1,0
2009,yes,very good,very good,no,,not at all over the last 12 months,,39,35,1,1,1,1,1,1,1,0
2010,yes,good,good,no,,once or twice a week,yes,40,36,1,1,1,1,1,1,1,0
2015,,,,,,,,60,51,1,1,1,1,1,0,0,0
2016,,,,no,,not at all over the last 12 months,,61,52,1,1,1,1,1,0,0,0
2012,,,,,,,,48,46,2,3,1,1,1,0,1,0
2013,yes,very good,very good,no,,once or twice a month,yes,49,48,2,3,1,1,1,0,1,0
2014,yes,good,good,,,,,51,49,2,3,1,1,1,0,1,0
2015,yes,good,good,no,,once every two months,yes,52,50,2,3,1,1,1,0,1,0
2015,,,,,,,,52,50,2,3,1,1,1,0,0,0
2016,no,very good,very good,yes,yes,once or twice a week,yes,53,51,2,3,1,1,1,0,0,0
2010,,,,,,,,50,45,1,1,4,4,0,0,1,0
2008,,,,,,,,54,46,2,2,1,1,1,0,1,0
2009,,,,no,,once or twice a week,yes,55,47,2,2,1,1,1,0,0,0
2009,,,,,,,,55,47,2,2,1,1,1,0,1,0
2010,no,very good,very good,no,,once or twice a month,yes,56,48,2,2,1,1,1,0,0,0
2010,,,,,,,,56,48,2,2,1,1,1,0,1,0
2011,no,very good,very good,no,,once or twice a week,yes,57,49,2,2,1,1,1,0,0,0
2012,no,good,good,no,,once or twice a month,yes,58,50,2,2,1,1,1,0,0,0
2008,no,very good,very good,no,,once every two months,no,46,46,2,2,1,1,1,0,1,1
2009,,,,no,,once or twice a month,no,46,46,2,2,1,1,1,1,0,0
2009,no,very good,very good,no,,once or twice a month,no,47,47,2,2,1,1,1,0,1,1
2010,no,very good,very good,no,,once or twice a week,yes,48,48,2,2,1,1,1,1,0,0
2011,no,very good,very good,,,,,49,49,2,2,1,1,1,1,0,0
2012,,,,,,,,49,49,2,2,1,1,1,1,0,0
2009,,,,,,,,48,47,2,2,1,1,1,1,1,1
2010,,,,,,,,49,48,2,2,1,1,1,1,0,1
2010,yes,good,good,no,,once or twice a week,yes,49,49,2,2,1,1,1,1,1,1
2011,no,very good,very good,no,,once or twice a month,no,50,50,2,2,1,1,1,1,0,1
2011,yes,good,good,,,,,50,50,2,2,1,1,1,1,1,1
2012,,,,,,,,51,50,2,2,1,1,1,1,0,1
2012,yes,good,good,no,,once or twice a week,yes,51,51,2,2,1,1,1,1,1,1
2013,,,,no,,once or twice a month,yes,52,51,2,2,1,1,1,1,0,1
2015,yes,fairly good,good,,,,,50,42,2,2,1,1,2,2,1,0
2016,,,,yes,"no, I stopped",once or twice a week,yes,51,43,2,2,1,1,2,2,1,0
2008,no,very good,good,no,,once or twice a week,yes,50,49,1,3,1,1,0,0,1,0
2009,,,,,,,,50,49,1,3,1,1,0,0,1,0
2010,,,,no,,once or twice a week,yes,51,50,1,3,1,1,0,0,1,0
2014,,,,,,,,44,46,3,3,4,4,2,0,1,0
2008,no,very good,not so good,no,,once every two months,no,52,47,2,2,1,1,0,0,1,1
2009,,,,,,,,48,46,1,2,1,1,1,0,1,0
2010,yes,good,good,yes,"no, I stopped",once or twice a week,yes,50,48,1,2,1,1,1,0,1,0
2011,yes,very good,good,,,,,51,49,1,2,1,1,1,0,0,0
2011,,,,,,,,50,48,1,2,1,1,1,0,0,0
2012,,,,,,,,51,49,1,2,1,1,1,0,0,0
2012,,,,yes,yes,once or twice a week,yes,51,49,1,2,1,1,1,0,0,0
2013,no,good,good,,,,,52,50,1,2,1,1,1,0,0,0
2008,no,very good,very good,no,,once every two months,no,54,50,3,1,1,1,0,0,1,1
2009,no,very good,very good,no,,once every two months,no,55,51,3,1,1,1,0,0,1,1
2008,no,very good,good,yes,"no, I stopped",once or twice a week,no,47,42,1,1,1,1,2,0,1,1
2009,,,,yes,"no, I stopped",once or twice a month,yes,47,42,1,1,1,1,2,1,0,0
2009,no,good,good,no,,once or twice a week,yes,48,43,1,1,1,1,2,0,1,1
2010,no,good,good,no,,once or twice a week,yes,49,44,1,1,1,1,2,1,0,0
2010,yes,good,good,no,,once or twice a month,no,49,44,1,1,1,1,2,0,1,1
2011,no,good,good,no,,three of four days per week,yes,50,45,1,1,1,1,2,1,0,0
2012,no,good,good,,,,,51,46,1,1,1,1,2,1,0,0
2014,,,,,,,,49,46,1,1,4,4,1,0,1,0
2012,yes,very good,very good,no,,once or twice a month,no,49,44,2,2,1,1,1,0,1,1
2012,no,fairly good,fairly good,no,,once or twice a month,yes,48,43,2,2,1,1,1,1,0,0
2013,no,fairly good,not so good,no,,once or twice a week,yes,49,44,2,2,1,1,1,1,0,0
2014,,,,,,,,50,45,2,2,1,1,1,1,0,0
2013,,,,,,,,43,43,2,3,1,1,2,2,1,0
2014,,,,,,,,44,44,2,3,1,1,2,2,1,0
2014,,,,,,,,44,44,2,3,1,1,2,1,0,1
2015,no,very good,very good,,,,,45,46,2,3,1,1,2,2,1,0
2015,no,very good,very good,no,,not at all over the last 12 months,,45,46,2,3,1,1,2,1,0,1
2016,,,,,,,,46,46,2,3,1,1,2,1,0,0
2016,no,good,good,,,,,46,47,2,3,1,1,2,1,0,1
2014,,,,,,,,51,51,3,2,1,1,1,1,1,0
2015,,,,,,,,52,53,3,2,1,1,1,1,1,0
2016,,,,no,,not at all over the last 12 months,,53,54,3,2,1,1,1,0,0,0
2016,,,,,,,,53,54,3,2,1,1,1,1,1,0
2008,yes,good,fairly good,,,,,59,54,3,3,1,3,1,0,0,1
2008,no,very good,very good,yes,"no, I stopped",three of four days per week,yes,59,54,3,3,1,3,1,1,0,0
2009,no,very good,very good,,,,,60,55,3,3,1,3,1,1,0,0
2010,,,,,,,,61,55,3,3,1,3,0,0,0,0
2010,yes,good,good,no,,once every two months,no,48,42,3,3,4,4,2,0,1,0
2010,,,,,,,,48,42,3,3,1,2,2,0,0,0
2011,no,good,good,no,,once or twice a month,no,49,43,3,3,4,4,2,0,1,0
2011,,,,,,,,49,43,3,3,1,2,2,0,0,0
2011,,,,,,,,49,43,3,3,1,2,2,0,0,0
2012,,,,no,,once or twice a week,yes,50,45,3,3,1,2,2,0,0,0
2012,no,very good,very good,no,,once or twice a month,yes,51,44,3,3,1,2,2,0,0,0
2013,,,,,,,,51,45,3,3,1,2,2,0,0,0
2013,,,,,,,,51,45,3,3,1,2,2,0,0,0
2014,,,,,,,,52,46,3,3,1,2,2,0,0,0
2011,no,very good,very good,,,,,53,47,2,,1,,2,0,0,1
2011,no,good,fairly good,no,,three of four days per week,yes,53,57,2,,1,,2,1,0,0
2012,,,,,,,,54,,2,,1,,2,0,0,1
2012,no,good,fairly good,,,,,54,58,2,,1,,2,1,0,0
2013,,,,,,,,55,,2,,1,,2,0,0,1
2012,,,,,,,,53,51,3,3,4,4,1,1,1,0
2016,,,,,,,,46,48,2,1,4,4,1,1,1,0
2010,no,fairly good,not so good,no,,three of four days per week,yes,58,51,3,3,1,1,2,1,1,1
2008,,,,,,,,43,43,3,2,4,4,1,0,1,0
2014,no,very good,very good,,,,,46,47,2,3,1,1,1,1,1,0
2015,,,,no,,once or twice a month,no,47,48,2,3,1,1,1,1,1,0
2015,,,,,,,,47,48,2,3,4,4,1,0,0,1
2016,no,good,good,no,,once or twice a year,no,48,49,2,3,4,4,1,0,0,1
2009,,,,,,,,45,41,2,1,1,1,1,0,1,0
2010,,,,,,,,46,42,2,1,1,1,1,0,1,0
2011,,,,,,,,47,43,2,1,1,1,1,0,0,0
2012,,,,,,,,48,44,2,1,1,1,1,0,0,0
2012,,,,,,,,48,44,2,1,4,4,1,0,0,0
2016,,,,,,,,47,40,3,1,4,4,2,1,1,0
2009,,,,,,,,41,38,1,2,1,3,1,0,1,0
2010,,,,,,,,42,39,1,2,1,3,1,0,1,0
2011,,,,,,,,43,40,1,2,1,3,1,0,1,0
2012,,,,,,,,44,41,1,2,1,3,1,0,1,0
2013,,,,,,,,51,43,1,2,1,1,1,1,1,0
2014,,,,,,,,52,44,1,2,1,1,1,1,1,0
2009,,,,,,,,46,38,1,2,1,1,1,1,0,0
2010,,,,yes,"no, I stopped",once or twice a week,yes,47,39,1,2,1,1,1,1,1,0
2011,,,,,,,,48,40,1,2,1,1,1,1,1,0
2012,,,,yes,yes,once or twice a week,yes,49,41,1,2,1,1,1,1,1,0
2012,,,,,,,,49,41,1,2,1,1,1,0,0,0
2013,,,,,,,,50,42,1,2,1,1,1,0,0,0
2008,,,,yes,"no, I stopped",once or twice a month,yes,47,48,1,1,1,1,2,0,0,0
2008,yes,very good,very good,,,,,47,48,1,1,1,1,2,1,1,0
2009,,,,,,,,48,49,1,1,1,1,2,0,0,0
2010,,,,,,,,49,50,1,1,1,1,2,0,0,0
2011,,,,,,,,50,51,1,1,1,1,2,0,0,0
2011,,,,,,,,50,51,1,1,1,1,2,1,0,0
2008,no,good,good,no,,three of four days per week,yes,46,42,1,1,1,1,2,2,1,0
2008,,,,,,,,47,44,1,1,1,1,2,1,0,1
2009,yes,very good,very good,no,,not at all over the last 12 months,,48,46,1,,1,,3,2,0,1
2010,,,,,,,,49,,1,,4,4,3,2,0,0
2010,yes,fairly good,fairly good,no,,not at all over the last 12 months,,49,47,1,,1,,3,2,0,1
2011,,,,,,,,50,,1,,4,4,3,2,0,0
2011,yes,good,good,yes,"no, I stopped",not at all over the last 12 months,,50,48,1,,1,,3,2,0,1
2012,,,,,,,,51,,1,,4,4,3,2,0,0
2013,,,,,,,,52,,1,,4,4,2,2,0,0
2008,,,,,,,,51,51,3,3,1,1,1,0,1,0
2009,,,,no,,once or twice a month,yes,52,52,3,3,1,1,1,0,1,0
2010,no,good,good,no,,once or twice a month,no,54,53,3,3,1,1,1,0,1,0
2011,no,good,good,no,,once or twice a month,yes,55,54,3,3,1,1,1,0,1,0
2012,,,,,,,,55,55,3,3,1,1,1,0,0,0
2013,,,,no,,once or twice a year,no,56,56,3,3,1,1,1,0,0,0
2014,no,very good,very good,,,,,58,57,3,3,1,1,1,0,0,0
2015,no,very good,very good,,,,,59,58,3,3,1,1,0,0,0,0
2010,,,,,,,,47,47,2,2,1,1,1,1,1,0
2010,,,,,,,,47,43,2,2,4,4,1,0,1,0
2011,,,,,,,,48,44,2,2,4,4,1,0,1,0
2012,,,,,,,,49,45,2,2,4,4,1,0,1,0
2013,,,,,,,,50,46,2,2,4,4,1,0,1,0
2013,,,,,,,,50,46,2,2,4,4,1,0,0,0
2008,,,,,,,,46,45,2,3,1,1,2,0,0,0
2008,no,good,good,no,,once or twice a month,no,47,46,2,3,1,1,2,0,1,0
2009,no,very good,very good,,,,,48,47,2,3,1,1,2,0,0,0
2009,no,very good,very good,,,,,48,47,2,3,1,1,2,0,1,0
2010,,,,yes,"no, I stopped",once or twice a week,yes,48,47,2,3,1,1,2,0,0,0
2011,no,very good,very good,,,,,50,49,2,3,1,1,2,0,0,0
2011,,,,no,,once or twice a month,no,49,48,2,3,1,1,2,0,0,0
2012,no,very good,very good,no,,once or twice a week,yes,50,49,2,3,1,1,2,0,0,0
2013,,,,,,,,51,50,2,3,1,1,2,0,0,0
2014,,,,,,,,52,51,2,3,1,1,2,0,0,0
2008,no,very good,very good,no,,once or twice a month,no,51,48,3,2,3,1,1,0,1,0
2008,no,very good,very good,,,,,51,48,3,2,3,1,1,0,1,0
2009,no,very good,very good,no,,once or twice a week,yes,52,49,3,2,3,1,1,0,1,0
2009,,,,,,,,51,48,3,2,3,1,1,0,1,0
2014,,,,,,,,44,44,2,2,4,4,1,1,1,0
2015,,,,no,,once or twice a month,yes,45,45,2,2,4,4,1,1,1,0
2015,,,,,,,,45,45,2,2,4,4,1,0,0,0
2016,yes,very good,very good,,,,,40,40,2,2,4,4,1,1,1,0
2016,,,,,,,,46,46,2,2,4,4,1,0,0,0
2016,,,,,,,,42,40,2,2,4,4,1,0,1,0
2015,yes,very good,good,,,,,51,46,2,2,1,1,1,0,1,0
2016,,,,no,,five or six days per week,no,52,47,2,2,1,1,1,0,1,0
2010,,,,,,,,45,47,2,1,4,4,1,1,0,0
2011,,,,,,,,41,43,2,2,4,4,2,1,1,0
2012,,,,,,,,42,44,2,2,4,4,2,1,1,0
2010,,,,,,,,50,50,1,1,1,2,1,1,1,1
2011,no,not so good,not so good,,,,,55,51,1,1,1,2,1,1,1,1
2014,no,very good,very good,,,,,53,47,1,2,1,1,2,0,1,0
2015,,,,no,,once or twice a week,yes,54,48,1,2,1,1,2,0,1,0
2015,,,,,,,,54,48,1,2,1,1,2,0,0,0
2016,,,,no,,once or twice a week,yes,55,49,1,2,1,1,2,0,0,0
2008,no,very good,very good,no,,once or twice a week,yes,49,46,3,3,1,1,1,0,1,0
2009,,,,,,,,50,46,3,3,1,1,1,0,0,0
2009,no,good,very good,no,,once or twice a week,yes,50,47,3,3,1,1,1,0,1,0
2010,no,very good,very good,yes,yes,once or twice a month,no,51,48,3,3,1,1,1,0,0,0
2010,no,good,good,no,,once or twice a week,yes,51,48,3,3,1,1,1,0,1,0
2011,,,,,,,,52,48,3,3,1,1,1,0,0,0
2011,,,,no,,once or twice a week,yes,52,48,3,3,1,1,1,0,1,0
2012,,,,,,,,53,49,3,3,1,1,0,0,0,0
2008,,,,,,,,46,45,1,1,1,1,1,1,1,0
2009,,,,no,,once or twice a week,yes,47,46,1,1,1,1,1,1,1,0
2010,,,,yes,"no, I stopped",once every two months,no,48,47,1,1,4,4,1,0,0,1
2010,no,very good,very good,,,,,49,48,1,1,1,1,1,1,1,0
2011,yes,good,good,,,,,50,49,1,1,4,4,1,0,0,1
2011,,,,,,,,49,48,1,1,1,1,1,1,1,0
2012,,,,,,,,50,49,1,1,4,4,1,0,0,1
2013,,,,,,,,51,50,1,1,4,4,1,0,0,1
2008,,,,no,,once or twice a month,yes,49,48,1,3,1,1,2,1,1,0
2009,,,,,,,,50,49,1,3,1,1,2,1,1,0
2010,,,,,,,,51,50,1,3,1,1,2,1,1,0
